time,highest_one_day_precipitation_amount_per_time_period,normallized_RX1Day
1981,67.26339333,0.389569806
1982,81.53616633,0.479119228
1983,33.49147167,0.177679931
1984,16.49775983,0.071058948
1985,18.882486,0.086021061
1986,59.146538,0.338643492
1987,15.4792505,0.064668674
1988,31.63788133,0.166050239
1989,5.5629258,0.002452232
1990,96.33090133,0.571943515
1991,45.08412533,0.250413901
1992,71.20778467,0.414317482
1993,40.884962,0.224067748
1994,25.51368367,0.127626146
1995,24.5253002,0.121424886
1996,26.637329,0.134676057
1997,47.695646,0.266798955
1998,19.874511,0.092245168
1999,78.36815423,0.459242667
2000,65.010737,0.375436317
2001,58.694533,0.335807548
2002,72.11796567,0.420028088
2003,24.22881833,0.119564716
2004,22.71995167,0.110097871
2005,34.54290167,0.184276753
2006,29.80424,0.154545711
2007,25.41364733,0.126998503
2008,62.68872333,0.360867671
2009,64.441403,0.371864234
2010,48.89152323,0.274302061
2011,56.20300433,0.32017534
2012,79.292552,0.465042471
2013,20.43494187,0.095761392
2014,21.91664783,0.105057827
2015,25.16799057,0.125457218
2016,36.28760467,0.19522327
2017,53.672539,0.304298838
2018,22.8945105,0.111193078
2019,77.96681333,0.456724596
2020,21.804713,0.104355532
2021,26.21193377,0.132007067
2022,23.37628067,0.114215773
2023,24.394201,0.120602351
2024,28.541241,0.146621474
2025,18.817504,0.085613355
2026,45.40408333,0.252421363
2027,112.6369653,0.674250097
2028,9.572652,0.027609829
2029,30.69940967,0.160162134
2030,104.8958947,0.625681511
2031,33.5316729,0.177932159
2032,15.78665813,0.066597394
2033,86.371214,0.50945501
2034,16.336871,0.070049508
2035,82.29038933,0.483851332
2036,66.959038,0.387660237
2037,27.86596933,0.142384723
2038,50.942209,0.287168357
2039,27.6123581,0.14079353
2040,36.03251833,0.193622821
2041,30.52651033,0.159077338
2042,11.3808226,0.03895455
2043,17.8840688,0.079756849
2044,52.61801933,0.297682631
2045,80.18762833,0.470658308
2046,19.64511567,0.090805909
2047,30.217064,0.157135828
2048,31.04233947,0.162313724
2049,56.95194267,0.324874287
2050,22.40937333,0.108149258
2051,83.21799467,0.48967126
2052,36.1007261,0.194050767
2053,68.89742267,0.39982194
2054,83.580758,0.491947289
2055,41.32554393,0.226832022
2056,55.07923767,0.313124667
2057,164.556389,1
2058,39.39935867,0.21474686
2059,40.43169067,0.221223859
2060,25.310567,0.126351763
2061,25.92569833,0.130211185
2062,36.60400787,0.197208429
2063,67.437983,0.390665206
2064,52.12223667,0.294572019
2065,13.171072,0.050186832
2066,30.979313,0.161918287
2067,77.62915267,0.454606065
2068,5.172078433,0
2069,72.10626433,0.419954672
2070,49.813391,0.280085991
2071,56.07285533,0.319358767
2072,64.32882367,0.371157895
2073,21.09318533,0.099891306
2074,27.6069059,0.140759322
2075,37.6403508,0.203710593
2076,50.81690367,0.286382173
2077,48.05861133,0.269076252
2078,51.24064667,0.289040797
2079,104.46426,0.622973373
2080,54.617628,0.310228462
2081,40.07731547,0.219000458
2082,43.89437617,0.242949244
2083,55.42384633,0.315286792
2084,35.57574417,0.190756955
2085,75.48349967,0.441143931
2086,68.054369,0.3945325
2087,14.12047567,0.056143526
2088,82.20751133,0.483331343
2089,25.24684187,0.125951942
2090,21.67339,0.103531593
2091,26.12368067,0.131453354
2092,27.312284,0.138910822
2093,37.49119567,0.202774772
2094,10.4866304,0.03334426
2095,29.482863,0.152529345
2096,46.23065113,0.257607368
2097,65.58007433,0.379008421
2098,75.03004533,0.438298893
2099,40.851757,0.223859415
